group,category,code,name_df,name,source,frequency,original,order,transf,tcode,transf_code,days_lag,where
1,Preços,BZ=F,brent_oil_price,Preço do Barril de Petróleo - Brent -  Fechamento no Período,Yahoo!,M,US$,,pctchg,2,3,0,Yahoo! Finance
2,Mercado de Trabalho,24349,wage_mass_ind,Massa salarial real – indústria de transformação (2006=100)	,CNI ,M,Index,,diff_12,2,3,7,BCB
2,Mercado de Trabalho,28763,new_caged,Novo Caged - Estoque de empregos formais - Total	,ME/MT,M,Units,,diff_diff_12,,4,21,BCB
2,Mercado de Trabalho,28764,caged_agro,Novo Caged - Agropecuária	,ME/MT,M,Units,,diff_12,2,4,21,BCB
2,Mercado de Trabalho,28765,caged_ind_ext,Novo Caged - Indústrias extrativas,ME/MT,M,Units,,diff_diff,,3,21,BCB
2,Mercado de Trabalho,28766,caged_ind_transf,Novo Caged - Indústrias de transformação,ME/MT,M,Units,,diff_diff_12,2,4,21,BCB
2,Mercado de Trabalho,28770,caged_const,Novo Caged - Construção,ME/MT,M,Units,,diff_diff_12,,4,21,BCB
2,Mercado de Trabalho,28771,caged_com,Novo Caged - Comércio,ME/MT,M,Units,,diff_diff_12,,4,21,BCB
2,Mercado de Trabalho,28772,caged_servi,Novo Caged - Serviços,ME/MT,M,Units,,diff_diff_12,,4,21,BCB
2,Mercado de Trabalho,24348,hrs_wkd_ind_transf,Número de horas trabalhadas – indústria de transformação (2006=100)	,CNI ,M,Index,,diff_12,2,1,32,BCB
2,Mercado de Trabalho,24369,unem_rate_pnad,Taxa de desocupação - PNADC,IBGE,M,Monthly %,,diff_diff,,6,50,BCB
3,Vendas,1455,total_sales,Índice volume de vendas no varejo - Total - Brasil	,IBGE,M,Index,,diff_12,2,3,45,BCB
3,Vendas,20105,const_sales,Índice do volume de vendas no varejo - Material de construção	,IBGE,M,Index,,diff_12,2,3,45,BCB
3,Vendas,20106,com_sales,Índice do volume de vendas no varejo - Comércio ampliado	,IBGE,M,Index,,diff_12,2,3,45,BCB
